Nr,Amt,Bemerkungen
336,"Math. Instrumentmacher",
337,"Hörpauker",
338,"Instrumentdiener Adjunkt",
339,"Edelgesteinschneider",
341,"Antiquitäten- und Med. Inspektor",
343,"Wappen-, Siegel- und Steinschneider",
344,"Bankalitätszahlmeister",
345,"Bankalitätskassier",
346,"Pupillarraithandler",
347,"Protokollist",
348,"Kanzlist",
350,"Pauker",
353,"Kammerfrauen Tafeldecker",
354,"Aya",
355,"Sakristan",
358,"Hofpatres Tafeldecker",
361,"Edelknaben Tafeldecker Gehilfe",
362,"djh Kammerdiener",
363,"djh Kammerheizer",
364,"djh Türhüter",
367,"Kücheninspektor",
368,"Obertapezierer",
369,"Untertapezierer",
376,"Hofarchitekt",
377,"Hoftaschner",
378,"Edelgesteinbohrer",
379,"Hofbildhauer",
380,"Schnürmacher",
381,"Crepin- und KnöpfmacherIn",
382,"Zuckerbäcker",
383,"Cymbalist",
385,"Zeugkammerschreiber",
387,"Haberkastner",
388,"Hofschlosser",
389,"Forstmeister im Auhof",
391,"Rosenkranzpater",
392,"Leibbarbier",
393,"Hofbarbier",
394,"Hofschneider",
396,"Meisterkoch",
397,"Bratmeister",
398,"Zusetzer",
399,"Bachereykoch",
400,"Instrument Austeiler",
401,"Arcieren Fourier",
402,"Futterknecht",
403,"Heubinder",
404,"Leibnäherin",
405,"Mundwäscherin",
406,"Leibkreserin",
408,"Frauenzimmer Wäscherin",
409,"Leilachwäscherin",
410,"Tafelwäscherin",
411,"Krankenköchin",
412,"Edelknaben Meisterkoch Gehilfe",
415,"Oratoridiener",
416,"Maler- und Bildhauerakademie Direktor",
417,"Hofgoldschlager",
418,"Hofbräumeister",
419,"Hofsticker",
420,"Hofvergolder",
422,"Tiorbist",
423,"Balletgeiger",
424,"Konzertdispensator",
429,"Kammerballenmeister",
430,"Leibhutmacher",
437,"Hofreißjäger",
439,"Hof- und Burgpfarrer",
441,"Wassermacher",
442,"Theatralsticker",
447,"Extraweib",
448,"Kapelldiener Junge",
449,"Zwergin",
450,"djh Kammermensch",
451,"djh Silberdiener",
452,"djh Mundköchin",
453,"djh Beichtvater",
454,"Kammerarchitekt und Statuarius",
455,"Dissegnatore di Cammera",
458,"djh Sommelier",
461,"Zehrgaden Gehilfe",
462,"Lichtkämmerer Junge",
463,"Orgelmacher Adjunkt",
464,"Büchsenspanner Adjunkt",
465,"Stallübergeher",
467,"Hoffutteramts- und Stallinspektor",
468,"Geheimer Kammerlieferant",
469,"Hoffutteramtsoffizier",
470,"Hoffutteramtsgegenhandler",
471,"Wagenbildhauer",
472,"Hofgürtler",
473,"Schatzmeister Vize",
474,"Kammerzahlmeister Vize",
475,"Theatralzeichner",
477,"Hofbuchbinder",
479,"Sommelier Junge",
480,"djh Büchsenspanner",
481,"Zuckerbäcker Gehilfe",
482,"Burggraf",
485,"Arcieren Adjutant",
486,"Kammerzahlamtskassier",
487,"Kammerzahlamtsschreiber",
489,"Kammerheizer Junge",
490,"Silberdiener Junge",
491,"Zehrgaden Junge",
493,"Hofküchenschreiber Schreiber",
494,"Hofkellermeister Junge",
496,"Kapellwäscherin",
497,"Spezialkellermeister",
498,"Kellergegenschreiber",
499,"Oberzuckerbäcker",
502,"Tafelzeugdiener",
503,"Kämmerer Tafeldecker Gehilfe",
504,"interim. Hofapotheker",
505,"Portier in der Neuen Burg",
506,"Portier in der Stallburg",
507,"Hofhutmacher",
509,"Oberkammerfourier",
510,"interim. Leibapotheker",
512,"Oberster Hofquartiermeister Vize",
514,"Zweiter Obersthofmeister",
516,"Zimmerputzer und Mobilienwärterjunge Schönbrunn",
517,"Extra Kammerfrau",
519,"Frauenzimmer Extramensch",
520,"Hoflieferant",
521,"Livreeschneider",
523,"Geheimer Ratstürhüter Gehilfe",
529,"Schweizergarde Hauptmann",
530,"Schweizergarde Oberst",
533,"Schweizergarde Fähnrich",
535,"Generaldirektor der Schatzkammern und Galerien",
536,"Zahnchirurg",
537,"Mobilien Inspektor",
538,"Marqueur im Ballhaus",
539,"Amtssekretär",
540,"Offiziant",
541,"Edelknaben Instruktor",
542,"Feldoberbereiter",
543,"Haubenheftnerin",
544,"Friseur",
546,"djh Leibwäscherin",
547,"Raitoffizier",
549,"Hofzahlamtsoffizier",
552,"Hofzahlamtskassier",
553,"Hofzahlamtsschreiber",
555,"djh Mundköchin Gehilfin",
557,"Jagdchirurg",
558,"Hofdolmetsch für Englisch",
561,"Kammeransager",
562,"Burginspektor",
565,"djh Kammerheizer Junge",
566,"djh Kammerheizer Gehilfe",
567,"Kanzleidiener",
568,"Feldbereiter",
571,"Ayo",
572,"Vize Ayo",
574,"Orientalischer Kurier",
577,"Akzessist",
579,"Wäschekammermeister",
580,"Wäschekammermeister Gehilfe",
584,"Lichtkammerschreiber",
598,"Arcieren Auditor",
617,"Hoffuttermeister Adjunkt",
618,"Musiker",
623,"Amtsheizer",
624,"Spitzennäherin",
625,"Bereiterscholar",
626,"Büchsenspanner Junge",
627,"Campagne Sattler",
628,"Beichtvater Schreiber",
629,,
630,"Arcieren Vizeadjutant",
632,"Zuckerbäcker Oberaufseher",
637,"Hofpatres Tafeldecker Adjunkt",
638,"djh Leibschneider",
639,"Hofbuchhalter Schreiber",
640,"Silberwäscher Junge",
641,"djh Leibkreserin",
647,"Bankalitätskontrollor",
648,"Edelknaben Professor Adjunkt",
650,"Falknerei Amtssekretär Adjunkt",
651,"Garderobe Geselle",
652,"Kammerheizer Gehilfe",
654,"Offizier Tafeldecker",
655,"Frauenzimmer Tafeldecker Gehilfe",
656,"Kapellschneider",
657,"Hofküchenschreiber Junge",
658,"Edelknaben Portier",
660,"Hofeinkäufer Gehilfe",
661,"Lichtkammerträger",
664,"Nebenkoch",
665,"Anges. Obersthofmarschall",
666,"Kompassmacher",
667,"Leibschneider Gehilfe",
668,"Amtssekretär Adjunkt",
669,"Meisterkoch Gehilfe",
670,"Zuckerbäcker Junge",
672,"Beichtvater Socius",
673,"Frauenzimmer Beichtvater Socius",
674,"djh Büchsenspanner Junge",
675,"Abwaschjunge",
676,"djh Beichtvater Socius",
677,"Guarde de Damesin",
679,"djh Instruktor Socius",
680,"Kabinettsekretär Schreiber",
681,"Edelknaben Professor (Recht)",
682,"Edelknaben Professor (Math, Ing.)",
683,"Hoffutteramtsschreiber",
684,"Italienischer Kanzlist",
492,"Gold- und Perlensticker",
685,"djh Sommelier Junge",
686,"Kellergehilfe",
687,"Brunnenschöpfer",
689,"Raigerwärter zu Neustadt",
690,"Maler- u. Bildhauerak. Unterdirektor",
691,"Mit-Erster Obersthofmeister",
692,"Konzipist",
693,"Taxator",
694,"Mobilien Inspektor Adjunkt",
695,"Decken- und Matratzenmacher",
696,"Hofküchenwäscherin",
697,"Holzinspektor",
698,"Zweiter Kapellmeister",
699,"Oberst der Schlossgarde",
701,"Auditor der Schlossgarde",
702,"Oberlieutnant der Schlossgarde",
703,"Unterlieutnant der Schlossgarde",
704,"Hauptmann der LG zu Fuß",
705,"Capitaine Lieutnant der LG zu Fuß",
706,"Premier Lieutnant der LG zu Fuß",
707,"Premier Wachtmeister der LG zu Fuß",
708,"Auditor der LG zu Fuß",
709,"Wachtmeister der LG zu Fuß",
710,"Rechnungsführer der LG zu Fuß",
711,"Chirurg der LG zu Fuß",
712,"Naturalienkabinett Direktor",
713,"Hofmaler im Naturalienkabinett",
714,"Münzkabinett Direktor",
715,"Garde du Cabinet",
719,"Mechaniker oder Arbeiter im Kabinett",
720,"Schreiber im Münzkabinett",
721,"Hofmathematicus",
723,"Kammerfutteralmacher",
724,"Kammergoldschmied",
725,"Schlossinspektor in Hetzendorf",
726,"Kaplan in Hetzendorf",
727,"Benefiziat in Hetzendorf",
729,"Zimmerputzer in Hetzendorf",
730,"Schlossinspektor in St. Veit",
731,"Schlosshauptmann in Schlosshof",
732,"Schlosshauptmann zu Ofen",
733,"Schlosshauptmann zu Troya",
734,"Kaplan im Gartengebäude",
735,"Schlosshauptmann zu Hollitsch",
