Nr,Amt,Bemerkungen
1154,"Kassier der Avitical-, Familien und großherz. Kassen",
386,"Zureiter der jungen Pferde",
678,"Theatralnäherin, Federschmückerin",
150,"Edelknaben Professor (allg.)",
283,"djh Musikmeister",
935,"Sekretär für die Familiengüter in Hollitsch u. Sassin",
586,"Adel. Arcieren Capitaine L.",
595,"Adel. Arcieren Ober L.",
587,"Adel. Arcieren Unter L.",
85,"Arcieren Lieutenant",
214,"Arcieren Ober L.",
96,"Frauenzimmer Türhüter Gehilfe",
569,"Camp. Reitschulenscholar",
438,"Raigerwärter zu Laxenburg",
772,"Kaplan der LG zu Fuß",
850,"Kontrollor im Taxamt",
688,"Kapellwäscherin Adjunktin",
700,"Zweiter Hauptmann der Schlossgarde",
614,"Amtsverweser des Obersthofmarschalls",
855,"Spalier- und Teppichmacher Hausknecht",
876,"Galerie Zeichner",
197,"Jägerei Amtssekretär",
949,"Kammerzahlamtssekretär",
948,"Mobilien Magazinverwalter",
979,"Jägerei Kanzleidiener",
859,"Sekretär für die Familiengüter",
973,"Trabanten Premier Wachtmeister",
527,"Bibliotheksadjunkt",
459,"Bibliotheksbuchbinder",
526,"Hofküchenkassier",
906,"Jägerei Kassenkontrollor und Rechnungsführer",
1018,"Kontrollor im Grundbuchsamt",
1028,"KZA Hauptkassenkontrollor",
932,"Generaladjutant",
873,"Kapelldiener in Schönbrunn",
1059,"Protokollist für die Familiengüter",
728,"Kapelldiener in der Xaverikapelle",
671,"Anges. Zweiter Obersthofmeister",
974,"Trabanten Wachtmeister (Second-)",
962,"Kassenoffizier der kais. Privatkasse",
914,"Amtsdiener der kais. Privatkasse",
835,"Hofbauholzverwalter",
953,"Hofbauholzschreiber",
1129,"Hofbauaufseher",
998,"Kassier der kais. Privatkasse",
717,"Direktor des physikalischen Kabinetts",
718,"Inspektor des physikalischen Kabinetts",
1094,"Hofküchenwäscher",
320,"Hausknecht in der Familiengüterdir.",
950,"Hofarchitekt Adjunkt",
1016,"Oberjäger im Laxenburger Leibgehäge",
371,"Bibliothekscustos",
575,"Hofglaser",
1047,"Hofbaumaterialienaufseher",
373,"Bibliotheksdiener",
918,"Hofbaumaterialienschreiber",
837,"Hofbaumaterialienverwalter",
1081,"Hofbauschreiber in Laxenburg",
913,"Hofbauübergeher",
860,"Kapelldiener Junge in der Hofburgpfarre",
1067,"Direktor des verein. Phys. Kabinetts",
121,"KammermalerIn",
777,"Anges. Obersthofmeister",
634,"Hofwirtschaftsrat u. Rechn. Revisor",
779,"Bibliotheksdirektor",
360,"Musikdirektor (Musikgraf)",
370,"Bibliothekspräfekt",
1034,"Hofgärtner in Laxenburg",
132,"Hofgärtner zu Schönbrunn",
1017,"Hofgärtner im Prater",
748,"Sporer",
513,"SchwertfegerIn",
1155,"Menageriedirektor in Schönbrunn",
1156,"Menageriegehilfe in Schönbrunn",
349,"Erster Rossarzt",
372,"Bibliotheksschreiber",
722,"KristallschneiderIn Adjunkt",
847,"Oberstkämmerer Amtskanzlist",
803,"Oberstkämmerer Amtssekretär",
904,"Gal. Garde Adjutant",
898,"Gal. Garde Auditor",
892,"Gal. Garde Capitaine",
893,"Gal. Garde Capitaine L.",
900,"Gal. Garde Chirurg",
1003,"Gal. Garde deutscher Sprachm.",
1002,"Gal. Garde Fechtmeister",
716,"Adjunkt im Münzkabinett",
1045,"Gal. Garde Fourier",
902,"Gal. Garde französ. Lehrer",
1046,"Gal. Garde Profos",
901,"Gal. Garde Ingenieur",
941,"Gal. Garde italien. Lehrer",
897,"Gal. Garde Kaplan",
899,"Gal. Garde Medicus",
894,"Gal. Garde Oberlieutnant",
895,"Gal. Garde Premier Wachtm.",
1004,"Gal. Garde Professor",
905,"Gal. Garde Rechnungsführer",
896,"Gal. Garde Secondwachtm.",
903,"Gal. Garde Tanzmeister",
924,"Custos im Münzkabinett",
1123,"Praktikant KZA u. Familiengüter",
990,"Offiziant im Obersthofmarschallamt",
783,"Oberzuckerbäcker Adjunkt",
1040,"Amtsdiener Adjunkt",
1038,"Amtstrabant Adjunkt",
1070,"Direktor des verein. Phys. Kabinetts Adjunkt",
929,"Haberkastner Adjunkt",
930,"Heumeister Adjunkt",
881,"Hofbauholzverwalter Adjunkt",
919,"Hofbauübergeher Adjunkt",
1152,"Hofgärtner Adjunkt",
934,"Hofküchenschreiber Adjunkt",
1151,"Hofmaurerpollier Adjunkt",
1025,"Hofrauchfangkehrer Adjunkt",
1109,"Hofuhrrichter Adjunkt",
965,"Hofwirtschaftsrat u. Rechn. Revisor Adjunkt",
581,"Jägerei Amtssekretär Adjunkt",
880,"Kalkmesser Adjunkt",
1111,"Liquidator Adjunkt",
1051,"Marqueur im Ballhaus Adjunkt",
963,"Mobilien Magazinverwalter Adjunkt",
984,"Naturalienkabinett Custos Adjunkt",
883,"Naturalienkabinett Direktor Adjunkt",
1058,"Portier im Augarten Adjunkt",
1039,"Protokollist des Hofquartieramts Adjunkt",
1008,"Wagenmeister Adjunkt",
328,"Wappen-, Siegel- und Steinschneider Adjunkt",
1117,"Witwen- und Waisenvertreter Adjunkt",
1035,"Zimmerwärter Adjunkt in Hetzendorf",
1056,"Zimmerwärter Adjunkt in Laxenburg",
844,"Akzessist im Hofbauamt",
845,"Amtsdiener im Hofbauamt",
909,"Assessor im Hofbauamt",
912,"Bote im Hofbauamt",
824,"Direktor im Hofbauamt",
833,"Erster Amtsschreiber im Hofbauamt",
915,"Expeditor im Hofbauamt",
866,"Gegenhandler im Hofbauamt",
1138,"Hausmeister im Hofbauamt",
1132,"Kanzleigehilfe im Hofbauamt in Schönbrunn",
911,"Ingenieur im Hofbauamt",
1165,"Kanzleigehilfe im Hofbauamt",
615,"Kanzleidirektor des Obersthofmarschallamts",
910,"Kanzleidirektor der Hofbaukommission",
917,"Kanzlist im Hofbauamt",
1128,"Kassenverwalter im Hofbauamt",
798,"Kaplan des MD",
1122,"ErzieherIn",
831,"Kassier im Hofbauamt",
951,"Kontrollierender Amts- und Kassenoffizier im Hofbauamt",
1163,"Konzipist im Hofbauamt",
842,"Praktikant im Hofbauamt",
832,"Protokollist im Hofbauamt",
1098,"Raitoffizier im Hofbauamt",
825,"Rechnungsconficient im Hofbauamt",
1161,"Rechnungsführer im Hofbauamt",
916,"Registrator im Hofbauamt",
952,"Schreiber im Hofbauamt",
841,"Sekretär im Hofbauamt",
1182,"Sekretär bei der Hofbaukommission",
794,"Second Lieutnant des MD",
867,"Zeichner im Hofbauamt",
834,"Zweiter Amtsschreiber im Hofbauamt",
830,"Actuarius bei der Hofbaukommission",
843,"Türhüter der Hofbaukommission",
829,"Repräsentant der Hofkammer bei der Hofbaukommission",
792,"Capitaine Lieutnant des MD",
799,"Chirurg des MD",
793,"Premier Lieutnant des MD",
795,"Premier Wachtmeister des MD",
800,"Profos des MD",
823,"Rechnungsführer des MD",
797,"Ingrossist der Familiengüter",
796,"Wachtmeister des MD",
466,"HofseilerIn",
745,"HofposamentiererIn",
921,"Ung. Garde Adjutant",
606,"Ung. Garde Auditor",
599,"Ung. Garde Capitaine",
600,"Ung. Garde Capitaine L.",
608,"Ung. Garde Chirurg",
877,"Ung. Garde deutscher Sprachmeister",
970,"Ung. Garde Fechtmeister",
789,"Ung. Garde französ. Sprachmeister",
788,"Ung. Garde Ingenieur",
790,"Ung. Garde italien. Sprachmeister",
605,"Ung. Garde Kaplan",
607,"Ung. Garde Medicus",
601,"Ung. Garde Premier L.",
603,"Ung. Garde Premier Wachtm.",
787,"Ung. Garde Professor",
822,"Ung. Garde Proviantmeister",
609,"Ung. Garde Rechnungsführer",
602,"Ung. Garde Second L.",
604,"Ung. Garde Second Wachtm.",
878,"Ung. Garde Tanzmeister",
1097,"Ung. Garde Zweiter Premier L.",
989,"Praktikant im Obersthofmarschallamt",
179,"WagenmalerIn und -vergolderIn",
1158,"HofziegeldeckerIn",
173,"HofsattlerIn",
817,"HoftischlerIn",
807,"KammervergolderIn",
1023,"HofanstreicherIn",
178,"WagnerIn",
1149,"HofzimmermeisterIn",
